Date,Open.x,High.x,Low.x,Close.x,Open.y,High.y,Low.y,Close.y
07/11/2011,5905.93,6028.59,5835.09,5928.68,3087.98,3144.04,3053.1,3103.6
08/11/2011,5950.44,6087.06,5934.23,5961.44,3104.93,3193.62,3102.67,3143.3
09/11/2011,6045.87,6055.58,5767.26,5829.54,3170.16,3183.41,3046.36,3075.16
10/11/2011,5732.32,5934.31,5721.97,5867.81,3011.39,3122.29,3008.73,3064.84
11/11/2011,5881.49,6065.29,5855.12,6057.03,3070.33,3154.98,3057.04,3149.38
14/11/2011,6097.27,6116.07,5934.09,5985.02,3169.43,3174.32,3090.23,3108.95
15/11/2011,5920.43,6011.47,5815.85,5933.14,3082.04,3097.98,3030.16,3049.13
16/11/2011,5873.29,6028.23,5852.04,5913.36,3038.6,3102.24,3027.44,3064.9
17/11/2011,5875.86,5921.25,5778.1,5850.17,3052.94,3064.15,3000.67,3010.29
18/11/2011,5800.79,5897.99,5769.69,5800.24,2989.97,3026.39,2979.6,2997.01
21/11/2011,5767.09,5771.7,5598.05,5606,2981.79,2981.79,2894.94,2894.94
22/11/2011,5648.5,5681.74,5537.39,5537.39,2925.32,2941.76,2870.68,2870.68
23/11/2011,5485.67,5588.11,5457.77,5457.77,2840.29,2881.56,2822.43,2822.43
24/11/2011,5512.77,5563.77,5399.9,5428.15,2849.5,2876.31,2807.06,2822.25
25/11/2011,5433.3,5528.64,5366.5,5492.87,2822.85,2871.49,2793.22,2856.97
28/11/2011,5577.19,5754.51,5573,5745.33,2897.48,3012.93,2890.76,3012.93
29/11/2011,5725.68,5826.35,5690.57,5799.91,2995.96,3047.87,2972.1,3026.76
30/11/2011,5741.21,6130.68,5725.98,6088.84,2992.14,3166.55,2986.28,3154.62
01/12/2011,6080.48,6111.97,6017.38,6035.88,3151.35,3168.92,3119.74,3129.95
02/12/2011,6117.73,6169.64,6055.48,6080.68,3167.31,3201.06,3151.41,3164.95
05/12/2011,6137.87,6170.04,6086.42,6106.09,3206.67,3215.78,3183.57,3201.28
06/12/2011,6021.73,6094.77,6005.82,6028.82,3172.93,3207.9,3167.64,3179.63
07/12/2011,6116.26,6137.05,5919.56,5994.73,3225.36,3244.89,3131.99,3175.98
08/12/2011,6054.56,6077.17,5868.63,5874.44,3202.33,3215.59,3091.23,3095.49
09/12/2011,5806.49,6007.05,5802.36,5986.71,3066.46,3175.9,3064.63,3172.35
12/12/2011,5945.19,5952.55,5785.43,5785.43,3150.84,3163.7,3089.59,3089.59
13/12/2011,5801.39,5852.43,5734.12,5774.26,3096.67,3111.1,3059.46,3078.72
14/12/2011,5738.98,5771.6,5675.14,5675.14,3057.43,3072.95,2976.17,2976.17
15/12/2011,5713.48,5795.87,5682.16,5730.62,2989.95,3021.64,2975.12,2998.73
16/12/2011,5764.45,5775,5693.41,5701.78,3010.41,3017.09,2969.4,2972.3
19/12/2011,5651.74,5775.24,5644.19,5670.71,2942.34,3009.99,2941.4,2974.2
20/12/2011,5652.61,5847.71,5637.53,5847.03,2967.05,3055.39,2957.2,3055.39
21/12/2011,5918.72,5965.35,5771.62,5791.53,3080,3121.39,3019.72,3030.47
22/12/2011,5830.13,5886.18,5820.44,5852.18,3046.83,3080.19,3046.83,3071.8
23/12/2011,5905.18,5913.41,5844.64,5878.93,3101.75,3113.94,3086.1,3102.09
27/12/2011,5900.7,5924.38,5877.98,5889.76,3111.14,3131.5,3098.14,3103.11
28/12/2011,5875.87,5901.35,5771.27,5771.27,3102.24,3130.82,3071.08,3071.08
29/12/2011,5804.13,5848.78,5775.79,5848.78,3081.17,3127.56,3064.69,3127.56
30/12/2011,5867.03,5898.35,5817.71,5898.35,3139.91,3159.81,3120.05,3159.81
03/01/2012,6124.11,6179.03,6108.62,6166.57,3231.43,3246.74,3193.63,3245.4
04/01/2012,6141.26,6163.48,6088.06,6111.55,3227.46,3242.84,3186.48,3193.65
05/01/2012,6121.34,6130.1,6040.94,6095.99,3197.16,3200.15,3136.75,3144.91
06/01/2012,6114.64,6152.56,6012.64,6057.92,3156.42,3184.38,3122.63,3137.36
09/01/2012,6061.26,6076.59,5987.75,6017.23,3143.95,3157.31,3114.45,3127.69
10/01/2012,6090.87,6191.29,6069.36,6162.98,3154.25,3219.43,3154.25,3210.79
11/01/2012,6148.45,6181.61,6106.03,6152.34,3204,3236.34,3181.17,3204.83
12/01/2012,6160.09,6256.95,6148.85,6179.21,3210.88,3253.29,3190.12,3199.98
13/01/2012,6242.49,6245.38,6063.66,6143.08,3224.16,3243.85,3151.69,3196.49
16/01/2012,6120.4,6232.21,6104.11,6220.01,3174.33,3231.02,3163.68,3225
17/01/2012,6301.91,6343.04,6270.97,6332.93,3260.27,3292.59,3243.37,3269.99
18/01/2012,6330.43,6399.43,6280.52,6354.57,3276.35,3301.89,3236.49,3264.93
19/01/2012,6377.24,6420.35,6333.7,6416.26,3286.11,3328.94,3272.31,3328.94
20/01/2012,6410.75,6431.26,6371.69,6404.39,3336.22,3336.62,3304.95,3321.5
23/01/2012,6387.33,6467.34,6349.69,6436.62,3325.42,3352.32,3313.71,3338.42
24/01/2012,6372.49,6420.05,6339,6419.22,3320.06,3323.97,3292.51,3322.65
25/01/2012,6448.87,6456.57,6366.65,6421.85,3336.53,3339.56,3285.63,3312.48
26/01/2012,6453.62,6559.07,6430.37,6539.85,3331.82,3368.66,3323.07,3363.23
27/01/2012,6507.77,6574.19,6484.35,6511.98,3345.07,3368.22,3318.76,3318.76
30/01/2012,6454.54,6491.52,6414.33,6444.45,3295.98,3300.68,3264.02,3265.64
31/01/2012,6489.04,6533.22,6450.1,6458.91,3292.01,3325.1,3289.48,3298.55
01/02/2012,6482.95,6630.48,6482.56,6616.64,3320.32,3370.28,3320.32,3367.46
02/02/2012,6640.05,6667.98,6606.37,6655.63,3386.63,3399.53,3355.84,3376.66
03/02/2012,6649.57,6767.46,6635.63,6766.67,3370.63,3427.92,3361.18,3427.92
06/02/2012,6752.03,6781.43,6714.82,6764.83,3412.32,3412.32,3380.94,3405.27
